ensemble_index,density_kg_m3,temperature_k,conductivity_s_m
0,4000,300,1388888.888889
0,4000,1000,837689.317786
0,4000,1670,607084.923896
0,4000,2500,452701.724538
0,4000,3135,378970.473652
0,4000,6000,218449.842718
0,4000,12000,115760.034080
0,8000,300,1388888.888889
0,8000,1000,837689.317786
0,8000,1670,607084.923896
0,8000,2500,452701.724538
0,8000,3135,378970.473652
0,8000,6000,218449.842718
0,8000,12000,115760.034080
0,12000,300,1388888.888889
0,12000,1000,837689.317786
0,12000,1670,607084.923896
0,12000,2500,452701.724538
0,12000,3135,378970.473652
0,12000,6000,218449.842718
0,12000,12000,115760.034080
