energy_ev,cross_section_m2
12.61,0.0
13.0,1.8999999999999999e-22
13.5,4.399999999999999e-22
14.0,7e-22
14.5,9.6e-22
15.0,1.22e-21
15.5,1.4799999999999998e-21
16.0,1.87e-21
16.5,2.28e-21
17.0,2.68e-21
17.5,3.09e-21
18.0,3.49e-21
18.5,3.89e-21
19.0,4.2699999999999994e-21
19.5,4.65e-21
20.0,5.06e-21
20.5,5.52e-21
21.0,5.9699999999999994e-21
21.5,6.42e-21
22.0,6.860000000000001e-21
22.5,7.29e-21
23.0,7.71e-21
23.5,8.120000000000001e-21
24.0,8.519999999999999e-21
26.0,1.0029999999999998e-20
28.0,1.1399999999999998e-20
30.0,1.262e-20
32.0,1.3720000000000002e-20
34.0,1.4699999999999997e-20
36.0,1.557e-20
38.0,1.639e-20
40.0,1.716e-20
45.0,1.879e-20
50.0,2.0049999999999998e-20
55.0,2.1019999999999997e-20
60.0,2.176e-20
65.0,2.233e-20
70.0,2.2749999999999997e-20
75.0,2.305e-20
80.0,2.327e-20
85.0,2.3399999999999997e-20
90.0,2.3469999999999997e-20
95.0,2.35e-20
100.0,2.3479999999999996e-20
105.0,2.3429999999999998e-20
110.0,2.334e-20
115.0,2.3239999999999996e-20
120.0,2.3119999999999998e-20
125.0,2.2979999999999998e-20
130.0,2.283e-20
135.0,2.2669999999999998e-20
140.0,2.2499999999999998e-20
145.0,2.233e-20
150.0,2.2149999999999998e-20
160.0,2.1779999999999997e-20
170.0,2.14e-20
180.0,2.1019999999999997e-20
190.0,2.064e-20
200.0,2.0259999999999997e-20
210.0,1.99e-20
220.0,1.953e-20
230.0,1.9179999999999998e-20
240.0,1.8839999999999998e-20
250.0,1.85e-20
300.0,1.6969999999999998e-20
350.0,1.565e-20
400.0,1.4519999999999998e-20
450.0,1.3549999999999998e-20
500.0,1.2689999999999998e-20
550.0,1.195e-20
600.0,1.129e-20
650.0,1.07e-20
700.0,1.0169999999999998e-20
750.0,9.699999999999999e-21
800.0,9.27e-21
850.0,8.88e-21
900.0,8.519999999999999e-21
950.0,8.19e-21
1000.0,7.89e-21
1100.0,7.349999999999999e-21
1200.0,6.89e-21
1300.0,6.48e-21
1400.0,6.12e-21
1500.0,5.799999999999999e-21
1600.0,5.52e-21
1700.0,5.26e-21
1800.0,5.03e-21
1900.0,4.8199999999999996e-21
2000.0,4.62e-21
2100.0,4.4499999999999995e-21
2200.0,4.28e-21
2300.0,4.1299999999999996e-21
2400.0,3.99e-21
2500.0,3.86e-21
2600.0,3.74e-21
2700.0,3.6299999999999995e-21
2800.0,3.519999999999999e-21
2900.0,3.42e-21
3000.0,3.32e-21
4000.0,2.62e-21
5000.0,2.17e-21
