energy_ev,cross_section_m2
15.43,0.0
15.5,4e-23
16.0,3.4e-22
16.5,6.4999999999999995e-22
17.0,9.6e-22
17.5,1.2699999999999999e-21
18.0,1.5699999999999999e-21
18.5,1.8799999999999997e-21
19.0,2.18e-21
19.5,2.47e-21
20.0,2.76e-21
20.5,3.0399999999999998e-21
21.0,3.31e-21
21.5,3.5799999999999994e-21
22.0,3.83e-21
22.5,4.0799999999999994e-21
23.0,4.3199999999999996e-21
23.5,4.56e-21
24.0,4.779999999999999e-21
26.0,5.61e-21
28.0,6.32e-21
30.0,6.93e-21
32.0,7.46e-21
34.0,7.92e-21
36.0,8.299999999999999e-21
38.0,8.639999999999999e-21
40.0,8.92e-21
45.0,9.459999999999998e-21
50.0,9.81e-21
55.0,1.0029999999999998e-20
60.0,1.0149999999999998e-20
65.0,1.0209999999999999e-20
70.0,1.0209999999999999e-20
75.0,1.0169999999999998e-20
80.0,1.01e-20
85.0,1.0019999999999999e-20
90.0,9.919999999999999e-21
95.0,9.81e-21
100.0,9.69e-21
105.0,9.57e-21
110.0,9.439999999999999e-21
115.0,9.31e-21
120.0,9.18e-21
125.0,9.05e-21
130.0,8.92e-21
135.0,8.8e-21
140.0,8.67e-21
145.0,8.55e-21
150.0,8.419999999999999e-21
160.0,8.19e-21
170.0,7.96e-21
180.0,7.75e-21
190.0,7.54e-21
200.0,7.34e-21
210.0,7.159999999999999e-21
220.0,6.98e-21
230.0,6.81e-21
240.0,6.65e-21
250.0,6.49e-21
300.0,5.819999999999999e-21
350.0,5.27e-21
400.0,4.8299999999999995e-21
450.0,4.4499999999999995e-21
500.0,4.1399999999999995e-21
550.0,3.86e-21
600.0,3.6299999999999995e-21
650.0,3.42e-21
700.0,3.2299999999999998e-21
750.0,3.07e-21
800.0,2.9199999999999997e-21
850.0,2.79e-21
900.0,2.67e-21
950.0,2.56e-21
1000.0,2.46e-21
1100.0,2.28e-21
1200.0,2.1299999999999998e-21
1300.0,2e-21
1400.0,1.8799999999999997e-21
1500.0,1.7799999999999998e-21
1600.0,1.69e-21
1700.0,1.61e-21
1800.0,1.5399999999999999e-21
1900.0,1.4699999999999997e-21
2000.0,1.4099999999999997e-21
2100.0,1.35e-21
2200.0,1.2999999999999999e-21
2300.0,1.25e-21
2400.0,1.2099999999999998e-21
2500.0,1.17e-21
2600.0,1.13e-21
2700.0,1.1e-21
2800.0,1.06e-21
2900.0,1.03e-21
3000.0,1e-21
4000.0,7.9e-22
5000.0,6.4999999999999995e-22
