energy_ev,cross_section_m2
30.0,0.0
32.0,1.8999999999999999e-22
34.0,3.5999999999999993e-22
36.0,5.099999999999999e-22
38.0,6.4e-22
40.0,7.5e-22
45.0,9.9e-22
50.0,1.17e-21
55.0,1.2999999999999999e-21
60.0,1.3900000000000001e-21
65.0,1.4599999999999999e-21
70.0,1.5099999999999998e-21
75.0,1.55e-21
80.0,1.5699999999999999e-21
85.0,1.59e-21
90.0,1.5999999999999999e-21
95.0,1.5999999999999999e-21
100.0,1.5999999999999999e-21
105.0,1.5999999999999999e-21
110.0,1.59e-21
115.0,1.59e-21
120.0,1.5699999999999999e-21
125.0,1.56e-21
130.0,1.55e-21
135.0,1.5399999999999999e-21
140.0,1.5199999999999999e-21
145.0,1.5099999999999998e-21
150.0,1.4899999999999999e-21
160.0,1.4599999999999999e-21
170.0,1.4299999999999999e-21
180.0,1.4e-21
190.0,1.37e-21
200.0,1.34e-21
210.0,1.31e-21
220.0,1.28e-21
230.0,1.25e-21
240.0,1.23e-21
250.0,1.2e-21
300.0,1.09e-21
350.0,9.9e-22
400.0,9.099999999999999e-22
450.0,8.4e-22
500.0,7.8e-22
550.0,7.299999999999999e-22
600.0,6.9e-22
650.0,6.4999999999999995e-22
700.0,6.1e-22
750.0,5.8e-22
800.0,5.6e-22
850.0,5.3e-22
900.0,5.099999999999999e-22
950.0,4.9e-22
1000.0,4.699999999999999e-22
1100.0,4.299999999999999e-22
1200.0,3.9999999999999997e-22
1300.0,3.7999999999999998e-22
1400.0,3.5999999999999993e-22
1500.0,3.4e-22
1600.0,3.2e-22
1700.0,3e-22
1800.0,2.9e-22
1900.0,2.8e-22
2000.0,2.5999999999999995e-22
2100.0,2.5e-22
2200.0,2.4e-22
2300.0,2.4e-22
2400.0,2.3e-22
2500.0,2.1999999999999996e-22
2600.0,2.1e-22
2700.0,1.9999999999999999e-22
2800.0,1.9999999999999999e-22
2900.0,1.8999999999999999e-22
3000.0,1.8999999999999999e-22
4000.0,1.5e-22
5000.0,1.2e-22
